motif,N,K,n,x,p
EEEEEEEEEDDD,1000,530,39,33,2.5368418741696125e-05
GGGFFFF,1000,530,14,14,0.00012716078007016615
DDDEE,1000,530,76,64,3.0541132289736364e-09
EEEEEE,1000,530,360,254,2.8857802267327125e-17
EEEGB,1000,530,25,23,2.7465919030859148e-05
EEEDDD,1000,530,129,105,6.955283298082679e-13
BBGGG,1000,530,77,66,3.2763368779473564e-10
EEEEDDD,1000,530,107,87,1.1751879871203874e-10
EGGGG,1000,530,47,36,0.000579371576442184
BEEEE,1000,530,35,29,0.00018006181542829452
BBBBBB,1000,530,37,35,2.1685030967602927e-08
EEEEEDDD,1000,530,94,77,8.581191711136385e-10
BAAAAAA,1000,530,156,136,1.0805776607511083e-22
FFEEE,1000,530,19,18,9.119716646442392e-05
AAEEE,1000,530,58,44,0.0001991826472887547
EEEED,1000,530,126,103,7.072935096448552e-13
ABBGGG,1000,530,25,21,0.001099626476074123
FFFFFDDDDDDD,1000,530,17,16,0.0003006942488443295
GEEEE,1000,530,183,138,5.808941250594352e-12
DDDDEEE,1000,530,57,47,1.7874702231184774e-06
EEEEEEDDD,1000,530,82,69,7.063586648369917e-10
GGGGGB,1000,530,35,28,0.0007280389568778093
GBBBB,1000,530,30,27,1.3381664458174001e-05
EEBBB,1000,530,15,14,0.0009757590892603156
DDDDD,1000,530,206,169,2.9272873038581e-22
GGGEE,1000,530,133,100,1.551800733362053e-08
EEEEEEEEE,1000,530,207,136,2.410777162030091e-05
EEDDD,1000,530,148,124,2.3743269339762602e-17
CFFFFF,1000,530,21,21,1.3405508824045275e-06
FFFFFF,1000,530,60,55,3.074844177212562e-11
AAAAAEE,1000,530,53,42,4.5648671286506505e-05
DDDDDDD,1000,530,172,139,9.99238247681718e-17
EEEEED,1000,530,111,91,1.5616334818496796e-11
GGGGG,1000,530,151,120,2.874838670734829e-13
CFFFFFFF,1000,530,12,12,0.00046302770531710585
FFFFF,1000,530,76,71,1.6169946084047641e-15
DDDDDD,1000,530,188,154,6.777364006025614e-20
CCFFF,1000,530,23,23,3.620289084742772e-07
FFFFFFF,1000,530,49,44,1.8772697433547724e-08
GGGFF,1000,530,22,22,6.969769143457134e-07
GGGEEEE,1000,530,105,78,1.997254027795827e-06
EGBBB,1000,530,12,12,0.00046302770531710585
EEEEAA,1000,530,43,35,7.470059434050712e-05
DDDEEE,1000,530,66,55,9.894757822308444e-08
EEDDDD,1000,530,126,106,5.3154441425627774e-15
DDEEE,1000,530,76,62,6.801535996750406e-08
GGGFFF,1000,530,18,18,9.484814389763001e-06
DDDDE,1000,530,71,58,1.7558102612653553e-07
CCFFFF,1000,530,18,18,9.484814389763001e-06
EDDDD,1000,530,137,116,6.351313706461976e-17
DDDDEEEE,1000,530,44,37,1.0369182566576554e-05
GGFFFFF,1000,530,14,14,0.00012716078007016615
AAAAGG,1000,530,25,21,0.001099626476074123
EEEEE,1000,530,402,287,3.9051490638037337e-22
DDDFF,1000,530,42,38,1.234195474232326e-07
DDDDFF,1000,530,41,37,2.1791341918107257e-07
CCFFFFFF,1000,530,12,12,0.00046302770531710585
FFFEEE,1000,530,16,15,0.0005428447234047596
GFFFFFF,1000,530,14,14,0.00012716078007016615
GGGGGG,1000,530,103,80,4.6483977799982825e-08
AEEEE,1000,530,59,45,0.0001333497904758603
EDDDDD,1000,530,121,102,1.5015014687034513e-14
EEEEDDDD,1000,530,91,73,1.570113497909001e-08
FFFFDDD,1000,530,26,23,0.0001198588285456927
