motif,N,K,n,x,p
BBBGGG,1000,510,39,33,8.653273511393364e-06
DDDDD,1000,510,202,164,4.153484894328755e-23
FDDDDDDD,1000,510,53,51,1.2771959624471516e-13
GGEEE,1000,510,117,83,2.6238946595887753e-06
DDDEE,1000,510,56,42,0.00014118663352546168
GGGGG,1000,510,137,108,5.573173744239692e-13
BCCCC,1000,510,11,11,0.0005755482433554779
DDEEE,1000,510,54,40,0.0003273589640816533
GBBAAAA,1000,510,39,31,0.00018181156255027542
FFDDDD,1000,510,54,51,1.2069322401506917e-12
EEGBB,1000,510,21,19,0.00013596166183328694
DDDEEE,1000,510,49,36,0.0008700072936595791
CCCCCCC,1000,510,22,20,7.46396352729569e-05
EEBBB,1000,510,17,16,0.00016708665009705035
BBGGG,1000,510,67,51,1.1983348094137814e-05
AAAEE,1000,510,67,52,3.4485936290477913e-06
BBBGGGG,1000,510,28,24,0.00011142336902521556
GGGGGE,1000,510,50,40,1.4083177519504732e-05
AAAAA,1000,510,365,300,1.8115456118990826e-53
GGGGEE,1000,510,63,48,2.141232080847491e-05
FFCCC,1000,510,13,13,0.00014637212737937474
EEFFF,1000,510,23,21,4.077457745570619e-05
EDDDD,1000,510,110,88,2.964239043764081e-11
CCCCC,1000,510,32,30,1.477315323128173e-07
FFFFDDDD,1000,510,30,29,3.461628297764976e-08
GGGGE,1000,510,70,53,1.0430668750567193e-05
