motif,N,K,n,x,p
BBB,1000,530,177,158,1.3496123753830814e-29
EDDD,1000,530,160,135,1.3737423042568651e-19
BBAA,1000,530,172,149,1.9914912065755445e-24
DDDD,1000,530,226,186,2.92606121183921e-25
EEEEEEEEEDDD,1000,530,39,33,2.5368418741696125e-05
GGGG,1000,530,201,154,1.4283266488320254e-14
EEEE,1000,530,449,326,6.847919214720639e-30
FFFF,1000,530,90,83,3.609152370038993e-17
GGGFFFF,1000,530,14,14,0.00012716078007016615
DDDEE,1000,530,76,64,3.0541132289736364e-09
EEEEEE,1000,530,360,254,2.8857802267327125e-17
EEEGB,1000,530,25,23,2.7465919030859148e-05
BGGG,1000,530,121,98,9.093863740489803e-12
EEEDDD,1000,530,129,105,6.955283298082679e-13
DDD,1000,530,252,208,2.6146366841238987e-29
EFFF,1000,530,19,17,0.0008008840761497717
BBGGG,1000,530,77,66,3.2763368779473564e-10
EEEEDDD,1000,530,107,87,1.1751879871203874e-10
DEEE,1000,530,81,65,1.081818782289648e-07
EGGGG,1000,530,47,36,0.000579371576442184
AAEE,1000,530,62,48,3.869988900178871e-05
BEEEE,1000,530,35,29,0.00018006181542829452
BBBBBB,1000,530,37,35,2.1685030967602927e-08
AAAA,1000,530,415,341,9.941770103659076e-58
GGGE,1000,530,140,106,2.4541768774750924e-09
EEEEEDDD,1000,530,94,77,8.581191711136385e-10
BAAAAAA,1000,530,156,136,1.0805776607511083e-22
ABGG,1000,530,42,32,0.0014101037453690202
FFEEE,1000,530,19,18,9.119716646442392e-05
EEE,1000,530,505,371,2.9380545392596934e-40
OAA,1000,530,61,45,0.0005098395063023288
AAEEE,1000,530,58,44,0.0001991826472887547
DDDE,1000,530,83,69,2.1220864101737638e-09
EEEED,1000,530,126,103,7.072935096448552e-13
GGE,1000,530,186,142,4.1625421399322113e-13
ABBGGG,1000,530,25,21,0.001099626476074123
BBG,1000,530,138,117,3.5862423296896175e-17
FFFFFDDDDDDD,1000,530,17,16,0.0003006942488443295
CCCFFFFF,1000,530,10,10,0.0016798393973377866
GEEEE,1000,530,183,138,5.808941250594352e-12
AGG,1000,530,33,29,1.8022396702829685e-05
DDDDEEE,1000,530,57,47,1.7874702231184774e-06
CFFF,1000,530,31,31,1.8536385407410671e-09
DEE,1000,530,94,76,3.739986828011978e-09
GFFF,1000,530,27,26,6.833790031715129e-07
DDE,1000,530,95,78,5.205339170759074e-10
AEEE,1000,530,67,52,1.548953867583174e-05
EEEEEEDDD,1000,530,82,69,7.063586648369917e-10
BBGG,1000,530,104,88,9.312500500874559e-13
GGGGGB,1000,530,35,28,0.0007280389568778093
GBBBB,1000,530,30,27,1.3381664458174001e-05
EEBBB,1000,530,15,14,0.0009757590892603156
DDDDD,1000,530,206,169,2.9272873038581e-22
DFFF,1000,530,30,27,1.3381664458174001e-05
AEE,1000,530,75,60,4.4592796680152367e-07
GGGEE,1000,530,133,100,1.551800733362053e-08
EEEEEEEEE,1000,530,207,136,2.410777162030091e-05
FFDD,1000,530,55,49,4.886295553835633e-09
EEDDD,1000,530,148,124,2.3743269339762602e-17
AGGG,1000,530,27,23,0.00040780408196626684
CFFFFF,1000,530,21,21,1.3405508824045275e-06
FDDD,1000,530,64,57,2.2679431861407316e-10
FFFFFF,1000,530,60,55,3.074844177212562e-11
AAAAAEE,1000,530,53,42,4.5648671286506505e-05
DDDDDDD,1000,530,172,139,9.99238247681718e-17
EEEEED,1000,530,111,91,1.5616334818496796e-11
