motif,N,K,n,x,p
FFFF,1000,493,100,82,1.1658368590408254e-12
AAAB,1000,493,358,225,1.0172794294626684e-10
FFFFFFF,1000,493,47,38,5.208453780342668e-06
AAAA,1000,493,516,321,1.9143658241472914e-17
ABBBB,1000,493,114,83,5.4934940907165056e-08
AAABB,1000,493,263,176,1.6651775009621926e-11
FFFFF,1000,493,76,62,1.6103493802765106e-09
FFFFD,1000,493,42,34,1.645299897897191e-05
BBBB,1000,493,178,111,8.03106855762823e-05
CFFF,1000,493,25,22,4.9577116858797964e-05
FFFFFF,1000,493,59,48,1.724336632025995e-07
