motif,N,K,n,x,p
EEEEEE,1000,500,350,244,2.2822360070284092e-20
DDDEEE,1000,500,62,49,1.2167139108370212e-06
AABB,1000,500,123,100,2.1182987689469113e-14
EEEEE,1000,500,387,271,2.6452135668464784e-24
DEEE,1000,500,69,54,5.81674143101207e-07
BBGGG,1000,500,58,46,2.2422581986913516e-06
EEEEEEE,1000,500,306,212,2.6327626546131643e-16
AAAAA,1000,500,267,210,5.0329109852125953e-29
DEEEEE,1000,500,51,38,0.00022396946124887522
GFFF,1000,500,20,18,0.00017776554041322708
BAAA,1000,500,164,132,1.6121197244994681e-18
ABBBB,1000,500,58,51,4.3725535792484844e-10
EEEE,1000,500,425,302,4.772373511530717e-31
BGGG,1000,500,71,58,1.0673480759534012e-08
CCCC,1000,500,35,32,1.367873355039908e-07
EEEEEEEEE,1000,500,242,163,3.2862234667873964e-10
DEEEEEE,1000,500,45,35,8.950093218726399e-05
BBBBBAA,1000,500,22,19,0.00037747364032736483
AEEE,1000,500,61,45,8.461136168306176e-05
DDDDDDD,1000,500,207,177,8.754780426439499e-33
CCFFF,1000,500,13,13,0.00011279903488458193
EEEEF,1000,500,18,17,6.409505886412278e-05
EEED,1000,500,162,130,5.382767888686589e-18
GGGGGG,1000,500,90,64,1.728370310926781e-05
GEEE,1000,500,131,92,4.101484046064169e-07
EEEEEEEEEE,1000,500,218,147,3.5175144229943893e-09
DDDDEEEEEEE,1000,500,37,30,7.304856418353754e-05
EEEEEED,1000,500,128,99,1.169744706639972e-11
EEEF,1000,500,21,20,8.802657711484998e-06
BBBB,1000,500,96,82,2.872815449337548e-14
CCCCCC,1000,500,26,24,4.131235492829671e-06
EEEEEEEEED,1000,500,83,64,1.2342239894812542e-07
GGEEEE,1000,500,80,54,0.0007543956116161354
EAAA,1000,500,41,34,8.728921643736952e-06
DDDDDDDEEE,1000,500,41,32,0.0001642730376201196
BBGG,1000,500,73,55,4.058412298016041e-06
EGGG,1000,500,62,44,0.0004526060065612369
EEEEEEEEEEE,1000,500,187,126,8.361085645903451e-08
ABBB,1000,500,94,75,4.323966320129873e-10
GGGF,1000,500,20,20,7.856652602244883e-07
DDDDEEEEEE,1000,500,41,32,0.0001642730376201196
DDDD,1000,500,259,217,6.147924007500812e-39
EEEEEEEE,1000,500,270,183,4.502750117749799e-12
AAEEE,1000,500,54,40,0.00018770431448124158
BBBBB,1000,500,58,48,1.0613884874661967e-07
DDDEE,1000,500,69,56,3.154810933659368e-08
CCCCC,1000,500,31,29,1.608504783816566e-07
EEEA,1000,500,39,32,2.556038730247321e-05
OAAA,1000,500,47,34,0.0012259538079857964
AAAA,1000,500,295,232,4.767069282476742e-33
