motif,N,K,n,x,p
DDEEE,1000,511,39,31,0.00019062660914649738
BBBBG,1000,511,39,32,4.532051848191142e-05
AABBB,1000,511,74,56,6.292284751233562e-06
EGGGG,1000,511,51,41,9.173766063480654e-06
EEEGGG,1000,511,60,50,8.854923763510834e-08
AAABBB,1000,511,66,50,2.0061645337041153e-05
GGGGG,1000,511,114,85,4.9880533592084165e-08
EEGGG,1000,511,66,56,3.306365258026602e-09
AABGG,1000,511,18,17,9.15039306174042e-05
NNNNN,1000,511,201,129,2.1192999045747175e-05
EEEEGGG,1000,511,53,44,7.256681147671068e-07
BBBBB,1000,511,58,45,1.857527277800479e-05
EEEEGG,1000,511,71,61,1.9297973070523033e-10
MNNNN,1000,511,67,55,5.284495584387306e-08
