motif,N,K,n,x,p
GBBBA,1000,511,24,21,0.0001773280620829897
EEEAAA,1000,511,42,34,4.4234554608750056e-05
DFFFF,1000,511,16,15,0.00032264779539606164
GBBBB,1000,511,27,22,0.0009664462886812604
CCFFFF,1000,511,18,18,4.8626228189583435e-06
EEEEEDDD,1000,511,96,72,4.3524457927432857e-07
FFFFF,1000,511,59,56,4.6706560604812125e-14
FFFFFFD,1000,511,20,19,2.556183449592867e-05
EEEAA,1000,511,47,37,6.312803428900766e-05
DDDDD,1000,511,229,192,1.339113607024483e-31
OOOAAAAA,1000,511,50,38,0.00019722169073650028
EEEEEEEEEDDD,1000,511,54,40,0.0003456680236916578
EEEEDDD,1000,511,106,80,5.252827922013669e-08
AAAEEEEE,1000,511,33,26,0.0008507740003443049
AAAAEEEE,1000,511,37,30,0.00012375835419823028
BBAAA,1000,511,112,96,4.3495338676923794e-16
EEEEEEEE,1000,511,245,164,6.762667217013994e-09
DDDDE,1000,511,69,49,0.0004043847379779347
EEEAAAA,1000,511,40,33,2.7176157524869832e-05
EEEEEEEED,1000,511,73,51,0.0005816362268531878
FFFFFFFFF,1000,511,25,24,9.986889495734363e-07
FFFFFFF,1000,511,37,36,3.2844474591606106e-10
FFFFFF,1000,511,49,47,2.1496275974684176e-12
DDDDDD,1000,511,220,183,6.977751291740218e-29
AAABB,1000,511,133,107,6.4005108648135e-14
EEEEEED,1000,511,93,68,4.7934742064070635e-06
OOOAAA,1000,511,57,41,0.0008200477935562911
GBBAA,1000,511,40,31,0.00044113639269386057
BBBBB,1000,511,53,40,0.000172410070717955
EEDDD,1000,511,131,102,1.4862591378656877e-11
EEEEEEE,1000,511,283,194,2.1044023204963266e-12
EEEEE,1000,511,356,246,1.1179212258705621e-17
CFFFF,1000,511,20,19,2.556183449592867e-05
ABBBB,1000,511,57,43,9.757441478942291e-05
CCFFFFF,1000,511,14,14,7.57813141751238e-05
AAABBBB,1000,511,40,32,0.00011789796231025675
BBBAAA,1000,511,57,51,2.795018425446672e-10
EEEDDD,1000,511,124,95,4.776419372955723e-10
AAAEE,1000,511,51,41,9.173766063480654e-06
AAAAA,1000,511,274,225,1.999306848545443e-35
EEEED,1000,511,124,92,1.868750396505614e-08
FFFFFFFFFFF,1000,511,15,14,0.0006019465036704052
GBBBAA,1000,511,22,20,7.739286911854258e-05
DDDEEEE,1000,511,57,41,0.0008200477935562911
CCAAA,1000,511,12,12,0.00029737629156220235
GGBBB,1000,511,36,30,4.4978337052108705e-05
FFFFFD,1000,511,28,26,1.9535617509518844e-06
BBBBA,1000,511,37,30,0.00012375835419823028
CCCAA,1000,511,10,10,0.0011623317398474485
