motif,N,K,n,x,p
DDDDDD,1000,506,167,116,5.3395358530356284e-08
AAABBB,1000,506,138,90,0.000141129129877447
DDDDD,1000,506,189,131,6.240109394287054e-09
EEEDDD,1000,506,118,80,4.49706543915058e-05
EEEDDDDD,1000,506,88,63,2.3545747533277435e-05
OOOAAAAA,1000,506,75,55,2.6567072538122e-05
DDDDDDDD,1000,506,138,98,1.3580710341116448e-07
EEEEE,1000,506,527,296,0.00012759504206231434
EEEDDDD,1000,506,106,71,0.00023820119159077472
AAAAAA,1000,506,372,247,8.129216576990305e-15
EDDDDD,1000,506,115,83,4.97424071951756e-07
AAAAA,1000,506,447,295,1.0514532020226673e-18
EEEBBB,1000,506,13,13,0.0001319681011976115
