motif,N,K,n,x,p
EEA,1000,505,58,43,0.00013738224168845055
CFF,1000,505,33,30,6.42721748350853e-07
BBBB,1000,505,101,67,0.0005250388885487882
EAAA,1000,505,49,38,6.486450098817836e-05
EEEDDD,1000,505,130,97,1.6946636558445955e-09
EEEE,1000,505,477,274,1.768188746026994e-05
CFFFF,1000,505,19,18,3.9457578751325095e-05
FFF,1000,505,100,85,3.529011969539872e-14
AAA,1000,505,389,250,2.2844609515994235e-12
DDE,1000,505,92,64,8.129960849688435e-05
EEEEAA,1000,505,45,34,0.0004008534434975878
CFFF,1000,505,22,20,6.219353214733414e-05
EEE,1000,505,509,298,1.456035748731759e-07
DDD,1000,505,289,223,5.459211764695489e-28
BBA,1000,505,157,104,1.1120045910364862e-05
EDDD,1000,505,162,124,1.3013589689380192e-13
CCC,1000,505,57,55,4.649491519006983e-15
BCCC,1000,505,15,14,0.0005145673084353468
EAA,1000,505,53,41,3.592915228511783e-05
EEAA,1000,505,50,39,4.0469654375591245e-05
EEDD,1000,505,162,121,6.655300789173367e-12
EDD,1000,505,175,132,1.24090629291073e-13
BBC,1000,505,25,21,0.00047111491564423704
AAAB,1000,505,214,139,1.1732158379466146e-06
ABB,1000,505,176,110,0.00029210615119907175
AABB,1000,505,152,97,0.0002364658048667142
EEAAA,1000,505,45,35,0.000116773717585308
CFFFFF,1000,505,15,14,0.0005145673084353468
BAA,1000,505,207,134,2.705923537426416e-06
EEEED,1000,505,139,101,9.166501684492501e-09
EEEEDD,1000,505,131,97,3.5137385096852177e-09
BBB,1000,505,166,105,0.0002076207250381184
EEEEEEEDDD,1000,505,78,59,2.0967092578271613e-06
DEEE,1000,505,77,54,0.00022519172437055856
EEDDDDD,1000,505,130,101,9.314921006036805e-12
CCCC,1000,505,41,39,2.870179675442462e-10
EED,1000,505,171,126,1.1417747938241968e-11
DDEE,1000,505,83,57,0.00036591946373856115
