motif,N,K,n,x,p
EEEE,1000,517,556,339,3.4625740645605024e-11
BBAA,1000,517,227,153,4.253807892714609e-08
EEED,1000,517,174,126,8.309106977092278e-10
DDDD,1000,517,250,185,1.071144133940354e-16
EEEEEDDD,1000,517,117,85,7.632473927240447e-07
BBBA,1000,517,130,89,2.5667549985840484e-05
EEEEEEED,1000,517,94,68,1.545851839135689e-05
EEEEE,1000,517,493,293,9.182593624825146e-07
EEEEDD,1000,517,148,106,7.886718089834555e-08
EEEEDDD,1000,517,133,97,7.241184502681921e-08
AAAA,1000,517,495,320,2.922304171351752e-16
EDDD,1000,517,183,137,1.3535517614514587e-12
EEEED,1000,517,155,111,3.5349914998019e-08
EEEEEE,1000,517,433,250,0.000522098877887863
BAAAA,1000,517,253,171,2.76937891967149e-09
EEEDD,1000,517,167,121,1.933311722157318e-09
BAAA,1000,517,295,198,1.562923619133302e-10
AAAAA,1000,517,443,289,1.2727093461969493e-14
AAABBG,1000,517,59,44,0.00018518475280954392
BBAAA,1000,517,196,133,2.628872431434089e-07
EEEEEDD,1000,517,130,93,6.796613477859828e-07
FFFDDD,1000,517,35,28,0.00042519263490743697
FDDD,1000,517,67,57,3.385107649095642e-09
BBBAA,1000,517,111,82,3.699392130747247e-07
FFFF,1000,517,72,53,6.973392331384073e-05
FFFD,1000,517,40,32,0.00015803626878798716
EEEEEEEDD,1000,517,88,64,2.1501799698355845e-05
EEEEEED,1000,517,118,82,2.3591899015730338e-05
EEEEED,1000,517,137,98,3.1368867513970094e-07
BBBB,1000,517,179,117,3.40513748005372e-05
AAAB,1000,517,351,225,4.891904396205578e-09
EEEDDD,1000,517,152,113,5.477273989692489e-10
EEEEEEEDDD,1000,517,78,57,5.135045771403629e-05
EEEEEEEEDDD,1000,517,62,45,0.00045058592191931144
DDDEEEE,1000,517,70,50,0.00040422199192976556
BBBBA,1000,517,62,45,0.00045058592191931144
EEDDD,1000,517,166,123,1.0365417185842144e-10
BGGG,1000,517,151,98,0.00027237737699208937
AAAAB,1000,517,306,200,5.750692098402634e-09
