motif,N,K,n,x,p
DDF,1000,493,50,39,1.9593043685755338e-05
FFFF,1000,493,100,82,1.1658368590408254e-12
FFF,1000,493,123,103,3.066688206130976e-17
GGGF,1000,493,25,21,0.00030691838000644855
AAAB,1000,493,358,225,1.0172794294626684e-10
FFFFFFF,1000,493,47,38,5.208453780342668e-06
AAAA,1000,493,516,321,1.9143658241472914e-17
ABBBB,1000,493,114,83,5.4934940907165056e-08
BBB,1000,493,292,187,1.379569714641962e-09
GFF,1000,493,28,24,5.49162746526784e-05
AAABB,1000,493,263,176,1.6651775009621926e-11
AAA,1000,493,567,344,1.033151019017618e-16
FFFFF,1000,493,76,62,1.6103493802765106e-09
FFFFD,1000,493,42,34,1.645299897897191e-05
BBBB,1000,493,178,111,8.03106855762823e-05
FDD,1000,493,84,72,3.927601462856436e-13
CFFF,1000,493,25,22,4.9577116858797964e-05
BBA,1000,493,284,180,1.3373632650170691e-08
FFFFFF,1000,493,59,48,1.724336632025995e-07
AAB,1000,493,386,242,1.2009862267380178e-11
DDD,1000,493,272,187,2.8885190385834404e-14
BBBA,1000,493,140,88,0.0003608328767548753
GGF,1000,493,30,26,1.6885624185374376e-05
