motif,N,K,n,x,p
EEED,1000,511,142,107,1.7057422798696358e-10
GBBBA,1000,511,24,21,0.0001773280620829897
AAAE,1000,511,56,45,3.2397428571170735e-06
DDDD,1000,511,247,208,1.7215807351950416e-35
AAAB,1000,511,194,152,4.255984208083872e-18
EEEAAA,1000,511,42,34,4.4234554608750056e-05
DFFFF,1000,511,16,15,0.00032264779539606164
BBBB,1000,511,88,70,8.286538735078677e-09
GBBBB,1000,511,27,22,0.0009664462886812604
CCFFFF,1000,511,18,18,4.8626228189583435e-06
EAAA,1000,511,48,40,2.0360258097780493e-06
EEEEEDDD,1000,511,96,72,4.3524457927432857e-07
GBAA,1000,511,37,30,0.00012375835419823028
OOOA,1000,511,62,44,0.0008406124705601753
FDDD,1000,511,75,71,1.501278923804413e-17
FFFFF,1000,511,59,56,4.6706560604812125e-14
FFFFFFD,1000,511,20,19,2.556183449592867e-05
EEEAA,1000,511,47,37,6.312803428900766e-05
FFFF,1000,511,74,70,2.98673821429923e-17
DDDDD,1000,511,229,192,1.339113607024483e-31
OOOAA,1000,511,58,41,0.0014544135388313752
EDDD,1000,511,141,108,2.1532215586074022e-11
OOOAAAAA,1000,511,50,38,0.00019722169073650028
EEEEEEEEEDDD,1000,511,54,40,0.0003456680236916578
EEEEDDD,1000,511,106,80,5.252827922013669e-08
AAAEEEEE,1000,511,33,26,0.0008507740003443049
AAAAEEEE,1000,511,37,30,0.00012375835419823028
EEGB,1000,511,26,23,5.6658253663110894e-05
GGGG,1000,511,144,104,2.1993978871948032e-08
BBAAA,1000,511,112,96,4.3495338676923794e-16
EEEEEEEE,1000,511,245,164,6.762667217013994e-09
DDDDE,1000,511,69,49,0.0004043847379779347
EEEF,1000,511,22,19,0.0005415944376196147
EEEAAAA,1000,511,40,33,2.7176157524869832e-05
EEDD,1000,511,144,113,2.973503419032089e-13
EEEEEEEED,1000,511,73,51,0.0005816362268531878
FFFFFFFFF,1000,511,25,24,9.986889495734363e-07
FFFFFFF,1000,511,37,36,3.2844474591606106e-10
FFFFFF,1000,511,49,47,2.1496275974684176e-12
FFFD,1000,511,44,42,6.183220497977764e-11
DDDDDD,1000,511,220,183,6.977751291740218e-29
AAABB,1000,511,133,107,6.4005108648135e-14
EEEEEED,1000,511,93,68,4.7934742064070635e-06
BBAA,1000,511,132,108,4.5984353491297956e-15
OOOAAA,1000,511,57,41,0.0008200477935562911
GBBAA,1000,511,40,31,0.00044113639269386057
ABBB,1000,511,101,79,3.3468935089460035e-09
BBBBB,1000,511,53,40,0.000172410070717955
EEDDD,1000,511,131,102,1.4862591378656877e-11
EEEEEEE,1000,511,283,194,2.1044023204963266e-12
EEEEE,1000,511,356,246,1.1179212258705621e-17
FCCC,1000,511,14,14,7.57813141751238e-05
CFFFF,1000,511,20,19,2.556183449592867e-05
ABBBB,1000,511,57,43,9.757441478942291e-05
CCFFFFF,1000,511,14,14,7.57813141751238e-05
AAAA,1000,511,315,255,1.6553932708358087e-39
AAABBBB,1000,511,40,32,0.00011789796231025675
BBBAAA,1000,511,57,51,2.795018425446672e-10
EEEDDD,1000,511,124,95,4.776419372955723e-10
GBBB,1000,511,53,45,1.36713690857505e-07
AAAG,1000,511,19,17,0.00045747963809951344
EEEG,1000,511,103,71,8.513881104232454e-05
FFFC,1000,511,15,14,0.0006019465036704052
AAAEE,1000,511,51,41,9.173766063480654e-06
GBBA,1000,511,43,33,0.0003935269784160906
AAAAA,1000,511,274,225,1.999306848545443e-35
EEEED,1000,511,124,92,1.868750396505614e-08
FFFFFFFFFFF,1000,511,15,14,0.0006019465036704052
GBBBAA,1000,511,22,20,7.739286911854258e-05
BBBA,1000,511,82,68,4.247991408036916e-10
DDDEEEE,1000,511,57,41,0.0008200477935562911
CCAAA,1000,511,12,12,0.00029737629156220235
BAAA,1000,511,178,148,1.4624302863653215e-22
GGBBB,1000,511,36,30,4.4978337052108705e-05
FFFFFD,1000,511,28,26,1.9535617509518844e-06
DFFF,1000,511,20,19,2.556183449592867e-05
BBBBA,1000,511,37,30,0.00012375835419823028
OAAA,1000,511,58,41,0.0014544135388313752
CCCAA,1000,511,10,10,0.0011623317398474485
