motif,N,K,n,x,p
EEEDDDDDD,1000,481,92,65,3.7789323385986504e-06
AAAAABB,1000,481,113,78,1.5486788236596058e-06
AAAAAB,1000,481,172,113,2.628687713138576e-07
FFFDDDDDDDDD,1000,481,14,13,0.0005308181593927587
CCCCCCCC,1000,481,27,26,5.6391388048024925e-08
AAAAAAA,1000,481,231,166,7.433591612736953e-17
EEEDD,1000,481,129,85,1.0212377102181445e-05
EEEED,1000,481,127,80,0.00022421373712362976
AAAAAA,1000,481,285,199,1.8602595910643986e-18
FFFFFFF,1000,481,49,43,3.0713196816355924e-09
DDDDD,1000,481,233,174,5.1691677826222274e-21
AAACCCCC,1000,481,18,18,1.6054597651905275e-06
FFFFFFDDDD,1000,481,14,14,3.212088163896502e-05
AAAAA,1000,481,333,221,1.8126807199083534e-16
EEEDDDD,1000,481,108,73,1.2324430157726433e-05
DDDDFF,1000,481,38,30,7.352888390692337e-05
EEAAAA,1000,481,44,33,0.00019207265958843652
DDDDDD,1000,481,215,159,3.862565229240198e-18
CCCCC,1000,481,43,41,1.014966665133679e-11
AAAAAAAA,1000,481,180,129,1.461512093210053e-12
