motif,N,K,n,x,p
EAAA,1000,505,49,38,6.486450098817836e-05
EEEDDD,1000,505,130,97,1.6946636558445955e-09
EEEE,1000,505,477,274,1.768188746026994e-05
CFFFF,1000,505,19,18,3.9457578751325095e-05
CFFF,1000,505,22,20,6.219353214733414e-05
EDDD,1000,505,162,124,1.3013589689380192e-13
EEAA,1000,505,50,39,4.0469654375591245e-05
EEDD,1000,505,162,121,6.655300789173367e-12
AAAB,1000,505,214,139,1.1732158379466146e-06
AABB,1000,505,152,97,0.0002364658048667142
EEAAA,1000,505,45,35,0.000116773717585308
EEEED,1000,505,139,101,9.166501684492501e-09
EEEEDD,1000,505,131,97,3.5137385096852177e-09
EEEEEEEDDD,1000,505,78,59,2.0967092578271613e-06
DEEE,1000,505,77,54,0.00022519172437055856
EEDDDDD,1000,505,130,101,9.314921006036805e-12
CCCC,1000,505,41,39,2.870179675442462e-10
