motif,N,K,n,x,p
EEEEEDDD,1000,517,117,85,7.632473927240447e-07
EEEEEEED,1000,517,94,68,1.545851839135689e-05
EEEEE,1000,517,493,293,9.182593624825146e-07
EEEEDD,1000,517,148,106,7.886718089834555e-08
EEEEDDD,1000,517,133,97,7.241184502681921e-08
EEEED,1000,517,155,111,3.5349914998019e-08
EEEEEE,1000,517,433,250,0.000522098877887863
BAAAA,1000,517,253,171,2.76937891967149e-09
EEEDD,1000,517,167,121,1.933311722157318e-09
AAAAA,1000,517,443,289,1.2727093461969493e-14
AAABBG,1000,517,59,44,0.00018518475280954392
BBAAA,1000,517,196,133,2.628872431434089e-07
EEEEEDD,1000,517,130,93,6.796613477859828e-07
FFFDDD,1000,517,35,28,0.00042519263490743697
BBBAA,1000,517,111,82,3.699392130747247e-07
EEEEEEEDD,1000,517,88,64,2.1501799698355845e-05
EEEEEED,1000,517,118,82,2.3591899015730338e-05
EEEEED,1000,517,137,98,3.1368867513970094e-07
EEEDDD,1000,517,152,113,5.477273989692489e-10
EEEEEEEDDD,1000,517,78,57,5.135045771403629e-05
EEEEEEEEDDD,1000,517,62,45,0.00045058592191931144
DDDEEEE,1000,517,70,50,0.00040422199192976556
BBBBA,1000,517,62,45,0.00045058592191931144
EEDDD,1000,517,166,123,1.0365417185842144e-10
AAAAB,1000,517,306,200,5.750692098402634e-09
