motif,N,K,n,x,p
EEED,1000,506,131,87,6.711117329800679e-05
DDDDDD,1000,506,167,116,5.3395358530356284e-08
EEE,1000,506,615,354,1.7487050867188032e-08
EEEE,1000,506,573,325,4.794660671625913e-06
DDDD,1000,506,216,143,1.3723511690051026e-07
AAAA,1000,506,517,337,6.346406374859976e-22
AAABBB,1000,506,138,90,0.000141129129877447
EDDD,1000,506,150,103,9.690140279153651e-07
AAA,1000,506,576,366,6.312651240634739e-22
GGGG,1000,506,273,163,0.00026338644925726453
ABBB,1000,506,174,112,4.149405766594762e-05
DDD,1000,506,233,155,1.7251233886638505e-08
DDDDD,1000,506,189,131,6.240109394287054e-09
EEEDDD,1000,506,118,80,4.49706543915058e-05
AAAB,1000,506,365,237,3.825266861590447e-12
EEEDDDDD,1000,506,88,63,2.3545747533277435e-05
BGGG,1000,506,161,104,6.827380166254867e-05
OOOAAAAA,1000,506,75,55,2.6567072538122e-05
DDDDDDDD,1000,506,138,98,1.3580710341116448e-07
EEEEE,1000,506,527,296,0.00012759504206231434
GGG,1000,506,373,217,0.00013816160930438433
ABB,1000,506,300,192,1.826833041619289e-08
EEEDDDD,1000,506,106,71,0.00023820119159077472
AAAAAA,1000,506,372,247,8.129216576990305e-15
EDDDDD,1000,506,115,83,4.97424071951756e-07
GEE,1000,506,334,197,0.00011020850900533656
AAAAA,1000,506,447,295,1.0514532020226673e-18
EEEDDDDDD,1000,506,71,50,0.0003570781849877629
AAB,1000,506,392,252,2.23947184063342e-12
EEEBBB,1000,506,13,13,0.0001319681011976115
BBB,1000,506,261,160,3.688979462992556e-05
