0
DDDEE
EEEGB
BBGGG
EGGGG
BEEEE
FFEEE
AAEEE
GBBBB
EEBBB
DDDDD
GGGEE
EEDDD
FFFFF
CCFFF
GGGFF
DDDFF
AAAAGG
