motif,N,K,n,x,p
CCCCCCC,1000,478,15,14,0.0002472341712286295
AAAAAB,1000,478,179,123,4.0212366832305133e-10
AAABBBB,1000,478,66,47,5.912770556041842e-05
BBBAAAA,1000,478,38,30,6.325581268965951e-05
AAAAAAA,1000,478,214,146,9.4208159658619e-12
DDDDDDDDDD,1000,478,152,117,1.7164539624827216e-15
AAAAAA,1000,478,261,173,2.2923806459097627e-12
EEEED,1000,478,166,113,6.819809328171553e-09
AAAAB,1000,478,202,136,3.264322538145932e-10
EEEEEEED,1000,478,110,74,1.0346800353571294e-05
BBAAA,1000,478,128,93,9.569422679597867e-10
EEEDD,1000,478,175,119,2.5422616002268683e-09
AAAAA,1000,478,318,206,1.38670738353819e-13
EEEDDDD,1000,478,137,97,4.0903019603113035e-09
CCCCCC,1000,478,16,15,0.00012377944520997804
DDDDDDDDD,1000,478,162,125,8.758932261029167e-17
AAABB,1000,478,165,116,1.4570446254876426e-10
AAAABBBB,1000,478,54,39,0.0001639000938341618
AAABBB,1000,478,100,72,2.1335265155340696e-07
EEEEEE,1000,478,436,258,1.6465280639111304e-10
AABBB,1000,478,116,84,1.0100577429442476e-08
AAAAAAAAAA,1000,478,93,69,5.309176551882357e-08
DDDDD,1000,478,222,164,4.0985353873876023e-19
