motif,N,K,n,x,p
EEEEEE,1000,500,350,244,2.2822360070284092e-20
DDDEEE,1000,500,62,49,1.2167139108370212e-06
EEEEE,1000,500,387,271,2.6452135668464784e-24
BBGGG,1000,500,58,46,2.2422581986913516e-06
EEEEEEE,1000,500,306,212,2.6327626546131643e-16
AAAAA,1000,500,267,210,5.0329109852125953e-29
DEEEEE,1000,500,51,38,0.00022396946124887522
ABBBB,1000,500,58,51,4.3725535792484844e-10
EEEEEEEEE,1000,500,242,163,3.2862234667873964e-10
DEEEEEE,1000,500,45,35,8.950093218726399e-05
BBBBBAA,1000,500,22,19,0.00037747364032736483
DDDDDDD,1000,500,207,177,8.754780426439499e-33
CCFFF,1000,500,13,13,0.00011279903488458193
EEEEF,1000,500,18,17,6.409505886412278e-05
GGGGGG,1000,500,90,64,1.728370310926781e-05
EEEEEEEEEE,1000,500,218,147,3.5175144229943893e-09
DDDDEEEEEEE,1000,500,37,30,7.304856418353754e-05
EEEEEED,1000,500,128,99,1.169744706639972e-11
CCCCCC,1000,500,26,24,4.131235492829671e-06
EEEEEEEEED,1000,500,83,64,1.2342239894812542e-07
GGEEEE,1000,500,80,54,0.0007543956116161354
DDDDDDDEEE,1000,500,41,32,0.0001642730376201196
EEEEEEEEEEE,1000,500,187,126,8.361085645903451e-08
DDDDEEEEEE,1000,500,41,32,0.0001642730376201196
EEEEEEEE,1000,500,270,183,4.502750117749799e-12
AAEEE,1000,500,54,40,0.00018770431448124158
BBBBB,1000,500,58,48,1.0613884874661967e-07
DDDEE,1000,500,69,56,3.154810933659368e-08
CCCCC,1000,500,31,29,1.608504783816566e-07
