motif,N,K,n,x,p
EEEA,1000,481,50,37,0.0001236146968260222
EEEDDDDDD,1000,481,92,65,3.7789323385986504e-06
EEED,1000,481,140,90,2.4839580401116088e-05
AAAA,1000,481,373,242,1.5503630634682506e-16
AAAAABB,1000,481,113,78,1.5486788236596058e-06
CCCC,1000,481,55,51,4.670255256696003e-13
CCC,1000,481,70,64,1.7970446124487777e-15
AAA,1000,481,417,273,7.350535480839499e-21
AAAAAB,1000,481,172,113,2.628687713138576e-07
FFFDDDDDDDDD,1000,481,14,13,0.0005308181593927587
CCCCCCCC,1000,481,27,26,5.6391388048024925e-08
AAAAAAA,1000,481,231,166,7.433591612736953e-17
EEEDD,1000,481,129,85,1.0212377102181445e-05
EEF,1000,481,36,30,9.67751199641405e-06
EEEED,1000,481,127,80,0.00022421373712362976
AAAAAA,1000,481,285,199,1.8602595910643986e-18
EEE,1000,481,504,273,6.902546728982622e-05
AAB,1000,481,235,147,2.732167872070689e-07
DDDF,1000,481,50,40,2.1243347488378515e-06
EED,1000,481,152,101,6.031444084030825e-07
DDD,1000,481,259,188,1.8094849547456714e-20
FFFF,1000,481,84,72,7.603078206996364e-14
BBB,1000,481,176,113,1.7017227883110957e-06
EEA,1000,481,57,42,4.8811697660598255e-05
DDFF,1000,481,43,33,8.731217878797305e-05
EEEFF,1000,481,23,19,0.0006286803436961577
BBBA,1000,481,87,62,4.09909966444719e-06
GGBA,1000,481,23,19,0.0006286803436961577
FFFFFFF,1000,481,49,43,3.0713196816355924e-09
EEEF,1000,481,34,29,5.401178674255783e-06
FFC,1000,481,19,17,0.0001788592491061331
DDDDD,1000,481,233,174,5.1691677826222274e-21
AAC,1000,481,43,42,4.0203409316928523e-13
GGGB,1000,481,60,42,0.00033988857467802115
AAACCCCC,1000,481,18,18,1.6054597651905275e-06
FFFFFFDDDD,1000,481,14,14,3.212088163896502e-05
BBBB,1000,481,117,76,7.203446783266572e-05
EEDD,1000,481,141,96,2.00037611639162e-07
AAAAA,1000,481,333,221,1.8126807199083534e-16
GGA,1000,481,25,21,0.00019701614353905656
DDDD,1000,481,248,183,3.019677883001999e-21
EEAA,1000,481,52,39,4.7279008366169925e-05
AACC,1000,481,38,37,1.7220283564792322e-11
EEEDDDD,1000,481,108,73,1.2324430157726433e-05
DDDDFF,1000,481,38,30,7.352888390692337e-05
GGB,1000,481,93,65,6.935240270127015e-06
CCF,1000,481,34,31,8.311828279225543e-08
EEAAAA,1000,481,44,33,0.00019207265958843652
DDDDDD,1000,481,215,159,3.862565229240198e-18
CCCCC,1000,481,43,41,1.014966665133679e-11
CCCF,1000,481,21,18,0.0003629477448306553
AAAAAAAA,1000,481,180,129,1.461512093210053e-12
FFD,1000,481,60,51,1.054018146237408e-09
