motif,N,K,n,x,p
EEEEEEE,1000,483,248,155,1.6805840691997156e-07
EEEE,1000,483,307,192,1.3542479450370684e-09
EEEEEE,1000,483,268,170,4.641064333084633e-09
EEEEE,1000,483,285,178,1.056027863710834e-08
AAAEEEEEE,1000,483,29,24,0.00011363362770447041
AAAA,1000,483,186,114,5.7541708767369045e-05
EEEEEEEEE,1000,483,217,133,1.0218085020934523e-05
EEEEEEEE,1000,483,238,148,6.192864508565054e-07
EEEEEEEEEE,1000,483,197,122,1.318737204145994e-05
AEEEE,1000,483,42,34,9.26732028296809e-06
AAAEEEEE,1000,483,30,25,6.395258124593626e-05
